league,home_team,away_team,home_odds,draw_odds,away_odds,time,date
IRELAND,Derry City,Galway,1.80,3.40,4.10,17:00,2026-05-04
IRELAND,Shamrock Rovers,Drogheda,1.48,4.10,5.75,17:00,2026-05-04
IRELAND,Sligo Rovers,St. Patricks,4.50,3.70,1.67,17:00,2026-05-04
IRELAND,Waterford,Dundalk,4.33,4.10,1.62,17:00,2026-05-04
IRELAND,Cobh Ramblers,UC Dublin,2.39,3.24,2.61,17:00,2026-05-04
IRELAND,Finn Harps,Bray,3.11,3.36,2.08,17:00,2026-05-04
IRELAND,Kerry,Cork City,6.81,4.10,1.41,17:00,2026-05-04
IRELAND,Longford,Athlone,2.06,3.24,3.28,17:00,2026-05-04
IRELAND,Treaty United,Wexford,3.14,3.28,2.10,17:00,2026-05-04
ISRAEL,Netanya,Hapoel Jerusalem,1.80,3.25,3.90,18:00,2026-05-04
ISRAEL,Sakhnin,Maccabi Bnei Raina,1.95,3.10,3.50,18:00,2026-05-04
ISRAEL,Hapoel Afula,H. Raanana,2.60,2.92,2.59,17:00,2026-05-04
ISRAEL,Maccabi Jaffa,Nof Hagalil,2.22,3.13,3.03,17:00,2026-05-04
JORDAN,Al Ahli,Al Buqaa,2.13,3.42,2.95,17:00,2026-05-04
JORDAN,Al Jazeera Amman,Shabab Al Ordon,2.92,3.04,2.33,17:00,2026-05-04
LATVIA,Skanste,Riga FC 2,2.52,3.64,2.27,15:00,2026-05-04
MAURITANIA,Douane,Nouadhibou,2.65,2.90,2.55,17:45,2026-05-04
MAURITANIA,Ksar,Kaedi,2.62,3.02,2.50,17:45,2026-05-04
MOLDOVA,Politehnica UTM,Sparta Selemet,1.42,4.80,5.62,12:00,2026-05-04
MOROCCO,Hassania Agadir,Olympique de Safi,2.55,2.80,2.75,17:00,2026-05-04
MOROCCO,Yacoub El Mansour,Berkane,4.10,2.90,1.91,19:00,2026-05-04
MOROCCO,Kawkab Marrakech,Dcheira,1.80,3.00,4.75,21:00,2026-05-04
NIGERIA,Sporting Lagos,Ranchers Bees,1.71,3.45,4.42,16:00,2026-05-04
NIGERIA,Doma United,Inter Lagos,2.05,2.88,3.77,18:00,2026-05-04
NORWAY,Bodo/Glimt,Molde,1.33,5.75,7.00,18:00,2026-05-04
NORWAY,KFUM Oslo 2,Konnerud,2.38,3.80,2.33,18:00,2026-05-04
NORWAY,Sandefjord 2,Lyn 2,1.99,4.25,2.76,17:00,2026-05-04
NORWAY,Sarpsborg 08 2,Drobak-Frogn,2.00,3.82,2.94,18:00,2026-05-04
OMAN,Al Khaboora,Saham,2.04,2.99,3.62,15:00,2026-05-04
OMAN,Al Nasr,Al Nahda,3.32,2.91,2.19,16:15,2026-05-04
OMAN,Al-Shabab,Al-Rustaq,1.33,4.40,8.15,17:20,2026-05-04
PARAGUAY,Fernando de la Mora,Atl. Tembetary,3.28,3.02,2.15,21:00,2026-05-04
PARAGUAY,Deportivo Santani,Benjamin Aceval,2.44,2.93,2.76,23:30,2026-05-04
PERU,Los Chankas,Deportivo Garcilaso,1.83,3.30,4.10,19:00,2026-05-04
PERU,Alianza Huanuco,Santos,1.46,3.80,6.52,19:00,2026-05-04
POLAND,Radomiak Radom,Lechia Gdansk,2.35,3.50,2.63,18:00,2026-05-04
POLAND,Polonia Bytom,Polonia Warszawa,2.50,3.40,2.40,17:00,2026-05-04
PORTUGAL,Sporting CP,Vitoria Guimaraes,1.24,5.75,11.00,20:15,2026-05-04
PORTUGAL,FC Porto B,Felgueiras,2.90,3.00,2.25,18:00,2026-05-04
PORTUGAL,Torreense,Penafiel,1.85,3.20,3.70,18:00,2026-05-04
ROMANIA,Unirea Slobozia,FC Hermannstadt,3.00,3.20,2.15,15:30,2026-05-04
ROMANIA,FC Rapid Bucuresti,CFR Cluj,2.20,3.20,2.90,18:30,2026-05-04
RUSSIA,Ural,Shinnik Yaroslavl,1.88,3.50,4.38,15:00,2026-05-04
RUSSIA,Arsenal Tula,R. Volgograd,2.77,2.99,2.84,17:30,2026-05-04
SAUDI ARABIA,Al Fayha,Al Riyadh,2.25,3.25,2.90,17:10,2026-05-04
SAUDI ARABIA,Al Ettifaq,Al Najma,1.50,4.33,5.00,19:00,2026-05-04
SAUDI ARABIA,Al Ittihad,Al Kholood,1.48,4.50,5.25,19:00,2026-05-04
SCOTLAND,Hearts,Rangers,2.65,3.60,2.40,17:30,2026-05-04
SERBIA,Radnik,Vojvodina,3.10,3.25,2.30,16:00,2026-05-04
SERBIA,Cukaricki,Crvena zvezda,8.00,4.75,1.38,18:00,2026-05-04
SINGAPORE,Albirex Niigata,Young Lions,1.06,11.00,29.00,12:30,2026-05-04
SPAIN,Almeria,Mirandes,1.45,4.50,6.00,19:30,2026-05-04
SURINAME,Leo Victor,Inter Wanica,1.01,10.70,41.00,00:00,2026-05-04
SURINAME,Voorwaarts,Robinhood,3.75,3.55,1.88,00:00,2026-05-04
SWEDEN,Djurgarden,Goteborg,1.57,3.60,4.50,18:00,2026-05-04
SWEDEN,Halmstad,Brommapojkarna,2.82,3.30,2.35,18:00,2026-05-04
SWEDEN,Landskrona,Oster,2.40,3.10,2.63,18:05,2026-05-04
SWEDEN,Lucksta,Kubikenborgs,3.04,3.64,2.01,18:00,2026-05-04
SWEDEN,IFK Trelleborg,Torns,1.46,4.25,5.54,17:30,2026-05-04
TANZANIA,Mashujaa,TRA United,2.55,2.96,2.61,12:00,2026-05-04
TUNISIA,CA Bizertin,AS Marsa,1.75,2.97,5.17,16:00,2026-05-04
TUNISIA,JS Omrane,Esperance Tunis,9.85,3.70,1.37,16:00,2026-05-04
TUNISIA,Monastir,Metlaoui,1.40,3.74,8.30,16:00,2026-05-04
TUNISIA,Zarzis,Etoile Sahel,2.70,2.40,3.08,16:00,2026-05-04
TURKEY,Mardin 1969,K. İstiklalspor,2.16,3.22,3.05,13:00,2026-05-04
TURKEY,Musspor,Aliaga,2.00,3.44,3.22,13:00,2026-05-04
TURKEY,Muglaspor,Sanliurfaspor,1.93,3.08,3.87,14:00,2026-05-04
TURKEY,Kucukcekmece,Corluspor,2.51,3.18,2.50,15:00,2026-05-04
UGANDA,URA SC,Villa,2.66,2.79,2.64,17:00,2026-05-04
UKRAINE,Rukh Lviv,FK Zorya Luhansk,4.08,3.86,1.83,16:00,2026-05-04
URUGUAY,Penarol,Defensor Sp.,1.80,3.10,4.33,23:30,2026-05-04
UZBEKISTAN,Lok. Tashkent,Qizilqum,1.76,3.31,5.04,15:00,2026-05-04
UZBEKISTAN,Xorazm Urganch,Andijan,2.67,2.96,2.80,15:00,2026-05-04
UZBEKISTAN,Nasaf Qarshi,Navbahor Namangan,2.56,3.21,2.73,16:00,2026-05-04
UZBEKISTAN,Olimpik-Mobiuz,Kattaqurgon,2.35,3.30,2.70,14:00,2026-05-04
