Competition,Stage,Round,Date,Kickoff (UTC),Home Team,Away Team,Score Home,Score Away,Odds Home,Odds Draw,Odds Away,Status
Copa do Brasil U17,Brazil,,2026-04-30,19:00,Athletico-PR U17,Monte Roraima U17,,,,,,Scheduled
Copa do Brasil U17,Brazil,,2026-04-30,19:00,Coritiba U17,IAPE U17,,,,,,Scheduled
Copa do Brasil U17,Brazil,,2026-04-30,19:00,Cruzeiro U17,CSA U17,,,,,,Scheduled
Brasileiro U20,Brazil,,2026-04-30,19:00,RB Bragantino U20,Fortaleza U20,,,1.42,4.20,6.29,Scheduled
Brasileiro U20 B,Brazil,,2026-04-30,19:30,Vila Nova FC U20,Botafogo SP U20,,,2.33,3.28,2.64,Scheduled
Catarinense U20,Brazil,,2026-04-30,19:00,Joinville U20,Brusque U20,,,1.56,4.10,4.62,Scheduled
Kings League - Brazil,Brazil,,2026-04-30,Finished,DesimpaiN,Dendele,5,2,1.64,7.50,2.78,Finished
Kings League - Brazil,Brazil,,2026-04-30,Finished,Podpah Funkbol Clube,Loud,4,6,2.10,6.50,2.10,Finished
Brasileiro Women,Brazil,,2026-04-30,Finished,Sao Paulo W,Flamengo W,2,1,1.88,3.44,4.07,Finished
Brasileiro U20 Women - Play Offs,Brazil,,2026-04-30,20:00,Sao Paulo U20 W,Ferroviaria U20 W,,,,,,Scheduled
Brasileiro U20 Women - Play Offs,Brazil,,2026-04-30,22:00,Flamengo RJ U20 W,Internacional U20 W,,,,,,Scheduled
efbet League - Relegation Group,Bulgaria,,2026-04-30,15:30,Beroe,Montana,,,1.76,3.40,4.75,Scheduled
efbet League - Relegation Group,Bulgaria,,2026-04-30,18:00,Lok. Sofia,Botev Vratsa,,,1.66,3.70,5.00,Scheduled
Coupe du President,Burundi,,2026-04-30,14:00,Rukinzo,Ngozi City,,,,,,Scheduled
Coupe du President,Burundi,,2026-04-30,14:00,Vital'O,Aigle Noir,,,,,,Scheduled
Liga de Ascenso,Chile,,2026-04-30,Finished,San Marcos de Arica,Recoleta,1,0,1.87,3.33,4.26,Finished
Copa de la Liga,Chile,,2026-04-30,Finished,D. Concepcion,Huachipato,2,1,2.33,3.30,2.97,Finished
Super League,China,,2026-04-30,12:00,Qingdao West Coast,Tianjin Jinmen Tiger,,,2.01,3.40,3.60,Scheduled
Super League,China,,2026-04-30,12:35,Liaoning Tieren,Chengdu Rongcheng,,,6.00,4.50,1.45,Scheduled
Super League,China,,2026-04-30,12:35,Shandong Taishan,Shanghai Shenhua,,,2.57,3.60,2.40,Scheduled
Super League,China,,2026-04-30,13:00,Chongqing Tonglianglong,Henan Songshan Longmen,,,3.30,2.85,2.32,Scheduled
League Two,China,,2026-04-30,Finished,Dalian Yingbo B,Dalian Kewei,0,0,3.41,2.97,2.22,Finished
League Two,China,,2026-04-30,Finished,Changchun Xidu,Shandong Taishan B,1,1,4.93,3.33,1.73,Finished
League Two,China,,2026-04-30,Finished,Shenzhen,Jiangxi Lushan,0,2,1.85,3.18,4.44,Finished
League Two,China,,2026-04-30,12:30,Ganzhou Ruishi,Guizhou Guiyang,,,3.05,2.89,2.34,Scheduled
League Two,China,,2026-04-30,12:30,Wenzhou Professional,Guangzhou Dandelion,,,3.21,3.08,2.15,Scheduled
Primera B - Apertura - Quadrangular,Colombia,,2026-04-30,Finished,Quindio,Tigres,1,0,1.53,3.69,6.97,Finished
Liga de Ascenso - Clausura - Play Offs,Costa Rica,,2026-04-30,Finished,Inter San Carlos,Escorpiones,0,0,2.18,3.43,3.02,Finished
3. CFL - Group A,Czech Republic,,2026-04-30,16:00,Taborsko akademie,Domazlice,,,9.15,5.20,1.25,Scheduled
4. liga - Group B,Czech Republic,,2026-04-30,17:00,Chomutov,Ujezd Prague,,,2.27,3.38,2.74,Scheduled
U19 League,Czech Republic,,2026-04-30,15:15,Karvina U19,Slovacko U19,,,1.84,3.90,3.32,Scheduled
A-Liga Women - Championship Group,Denmark,,2026-04-30,18:00,Aarhus W,KoldingQ W,,,1.64,3.68,4.57,Scheduled
Ligue 1 - Championship Group,DR Congo,,2026-04-30,12:00,Simba,Aigles du Congo,,,,,,Scheduled
Ligue 1 - Championship Group,DR Congo,,2026-04-30,14:00,Maniema,Celeste,,,,,,Scheduled
Ligue 1 - Championship Group,DR Congo,,2026-04-30,14:00,St Eloi Lupopo,Mazembe,,,,,,Scheduled
Serie B,Ecuador,,2026-04-30,Finished,Dep. Santo Domingo,LDU Portoviejo,3,0,2.47,3.12,2.91,Finished
Premier League - Championship Group,Egypt,,2026-04-30,18:00,Al Ahly,Enppi,,,1.32,4.30,9.10,Scheduled
Premier League - Championship Group,Egypt,,2026-04-30,18:00,Ceramica Cleopatra,Pyramids,,,4.79,3.28,1.71,Scheduled
Premier League - Championship Group,Egypt,,2026-04-30,18:00,Smouha,Zamalek,,,6.59,3.40,1.53,Scheduled
Premier League U18,England,,2026-04-30,22,West Brom U18,Aston Villa U18,1,1,,,Scheduled
Premier League U18,England,,2026-04-30,12:00,Manchester City U18,Stoke City U18,,,,,,Scheduled
Premier League U18,England,,2026-04-30,12:00,Newcastle Utd U18,Leeds U18,,,,,,Scheduled
Premier League U18,England,,2026-04-30,12:00,West Ham U18,Arsenal U18,,,,,,Scheduled
Premier League U18,England,,2026-04-30,12:30,Sunderland U18,Everton U18,,,,,,Scheduled
Estonian Cup,Estonia,,2026-04-30,17:00,Flora,Narva,,,1.25,5.20,9.35,Scheduled
Swazi MTN Premier League,Eswatini,,2026-04-30,14:00,Rangers FC,Green Mamba,,,,,,Scheduled
Swazi MTN Premier League,Eswatini,,2026-04-30,14:00,Young Buffaloes,Amawele,,,,,,Scheduled
Premier League,Ethiopia,,2026-04-30,22,Ethiopia Nigd Bank,St. George,0,0,2.93,2.83,2.67,Finished
Premier League,Ethiopia,,2026-04-30,13:00,Dire Dawa,Ethiopia Bunna,,,3.70,2.52,2.34,Scheduled
Premier League,Ethiopia,,2026-04-30,14:00,Mekelle 70 Enderta,Arba Menche,,,2.59,2.40,3.35,Scheduled
Premier League,Ethiopia,,2026-04-30,16:00,Shire Endaselassie,Ethio Electric,,,4.27,2.60,2.07,Scheduled
Euro U17 Women,Europe,,2026-04-30,15:00,France U17 W,Poland U17 W,,,,,,Scheduled
Euro U17 Women,Europe,,2026-04-30,18:00,Spain U17 W,Finland U17 W,,,,,,Scheduled
Veikkausliiga,Finland,,2026-04-30,17:00,Gnistan,Inter Turku,,,4.75,3.75,1.62,Scheduled
Kakkonen Group B,Finland,,2026-04-30,17:00,Ilves 2,Abo,,,2.49,3.72,2.27,Scheduled
Suomen Cup,Finland,,2026-04-30,16:00,POHU,EBK,,,,,,Scheduled
Championnat D1,Gabon,,2026-04-30,14:00,Lozo,Oyem AC,,,,,,Scheduled
Championnat D1,Gabon,,2026-04-30,15:30,Ogooue,Mberi Sportif,,,,,,Scheduled
Championnat D1,Gabon,,2026-04-30,15:30,Stade Mandji,Stade Migoveen,,,,,,Scheduled
Championnat D1,Gabon,,2026-04-30,15:30,Vautour,Mangasport,,,,,,Scheduled
Championnat D1,Gabon,,2026-04-30,16:00,Bouenguidi,Bitam,,,,,,Scheduled
Crystalbet Erovnuli Liga,Georgia,,2026-04-30,17:00,Torpedo Kutaisi,Rustavi,,,1.80,3.24,4.24,Scheduled
Oberliga Hamburg,Germany,,2026-04-30,18:00,SC Victoria Hamburg,Niendorfer TSV,,,,,,Scheduled
Oberliga Hamburg,Germany,,2026-04-30,18:00,TSV Buchholz 08,ETSV Hamburg,,,,,,Scheduled
Oberliga Hamburg,Germany,,2026-04-30,18:30,Paloma,Suderelbe,,,,,,Scheduled
Oberliga Hamburg,Germany,,2026-04-30,18:30,Vorwarts-Wacker,Turkiye Wilhelmsburg,,,,,,Scheduled
Oberliga Bremen,Germany,,2026-04-30,17:30,Union 60 Bremen,Brinkumer,,,,,,Scheduled
Oberliga Bremen,Germany,,2026-04-30,18:00,BTS Neustadt,OSC Bremerhaven,,,,,,Scheduled
Oberliga Bremen,Germany,,2026-04-30,18:30,Geestemunde,Oberneuland,,,,,,Scheduled
Oberliga Bremen,Germany,,2026-04-30,18:30,Werder Bremen III,Leher,,,,,,Scheduled
Oberliga Bayern Süd,Germany,,2026-04-30,17:30,Gundelfingen,Munich 1860 II,,,,,,Scheduled
Besta deild Women,Iceland,,2026-04-30,20:15,Fram W,Throttur W,,,4.27,4.00,1.62,Scheduled
ISL,India,,2026-04-30,15:00,Mumbai City,East Bengal,,,3.20,3.40,1.95,Scheduled
I-League - Relegation Group,India,,2026-04-30,14:00,Gokulam,Aizawl,,,1.71,3.70,4.05,Scheduled
I-League 3,India,,2026-04-30,Finished,New Friends,Baghpat,0,9,,,Scheduled
I-League 3,India,,2026-04-30,Finished,Sunrise Club,Sikkim Brotherhood,4,1,,,Scheduled
I-League 3,India,,2026-04-30,Half Time,Mawlai SC,Raengdai,1,0,4.20,3.99,1.69,Scheduled
I-League 3,India,,2026-04-30,Cancelled,Kuppuraj,Diamond Rock,,,,,,Scheduled
I-League 3,India,,2026-04-30,11:30,Royal Rangers,Agniputhra,,,,,,Scheduled
Super League,Indonesia,,2026-04-30,90+7,Madura United,Bali United,2,0,2.35,3.68,2.69,Finished
Super League,Indonesia,,2026-04-30,13:00,Borneo,Persita,,,1.38,4.40,6.66,Scheduled
Stars League,Iraq,,2026-04-30,15:30,Duhok,Naft Missan,,,1.75,3.38,4.29,Scheduled
Stars League,Iraq,,2026-04-30,15:30,Newroz,Al Shorta,,,4.06,3.40,1.78,Scheduled
Stars League,Iraq,,2026-04-30,18:00,Al Naft,Al-Karma,,,3.53,2.85,2.14,Scheduled
Stars League,Iraq,,2026-04-30,18:00,Al Talaba,Al Zawraa,,,2.62,2.86,2.62,Scheduled
Ligat ha'Al - Championship Group,Israel,,2026-04-30,17:30,Maccabi Tel Aviv,Hapoel Petah Tikva,,,1.38,4.50,5.75,Scheduled
Leumit League - Promotion Group,Israel,,2026-04-30,17:00,H. Ironi Rishon,Kiryat Yam,,,2.23,3.38,2.81,Scheduled
Leumit League - Promotion Group,Israel,,2026-04-30,17:00,Hap. Ramat Gan,Maccabi Petah Tikva,,,3.63,3.62,1.82,Scheduled
Leumit League - Promotion Group,Israel,,2026-04-30,17:00,Hapoel Kfar Saba,Bnei Yehuda,,,2.84,3.40,2.20,Scheduled
Leumit League - Promotion Group,Israel,,2026-04-30,17:00,M. Herzliya,Hapoel Kfar Shalem,,,2.35,3.34,2.58,Scheduled
Leumit League - Relegation Group,Israel,,2026-04-30,17:00,Hapoel Hadera,Ironi Modiin,,,2.49,3.18,2.52,Scheduled
Leumit League - Relegation Group,Israel,,2026-04-30,17:00,MS Kafr Qasim,H. Akko,,,2.56,2.96,2.60,Scheduled
Ligue 1,Ivory Coast,,2026-04-30,17:00,Zoman,Mouna,,,2.72,2.82,2.56,Scheduled
League Women,Kazakhstan,,2026-04-30,66,Yelimay Semey W,Tobol W,0,0,,,Scheduled
League Women,Kazakhstan,,2026-04-30,22,Altai W,Shakhter Karagandy W,0,1,,,Scheduled
League Women,Kazakhstan,,2026-04-30,23,Kyzylzhar W,Ertis Pavlodar W,1,0,,,Scheduled
League Women,Kazakhstan,,2026-04-30,12:00,Aktobe W,FC Astana W,,,,,,Scheduled
League Women,Kazakhstan,,2026-04-30,13:00,Zhenis Astana W,Okzhetpes W,,,,,,Scheduled
LFA First Division,Liberia,,2026-04-30,17:00,BEA Mountain,LISCR FC,,,,,,Scheduled
LFA First Division,Liberia,,2026-04-30,17:00,Wologizi,Discoveries,,,,,,Scheduled
Liechtenstein Cup,Liechtenstein,,2026-04-30,19:00,Vaduz,Eschen/Mauren,,,,,,Scheduled
TOPLYGA,Lithuania,,2026-04-30,16:45,Kauno Zalgiris,Dziugas Telsiai,,,1.35,4.50,7.19,Scheduled
TOPLYGA,Lithuania,,2026-04-30,18:00,Riteriai,Banga,,,7.21,4.10,1.39,Scheduled
Premier League - Additional match,Malta,,2026-04-30,18:00,Zabbar,Tarxien,,,1.96,3.32,3.45,Scheduled
Ligue 1,Mauritania,,2026-04-30,17:45,Tevragh-Zeina,Pompiers,,,2.65,2.80,2.63,Scheduled
Super Liga - Relegation Group,Moldova,,2026-04-30,15:00,Iskra Ribnita,Real Sireti,,,,,,Scheduled
